Codigo;Descripcion;Categoria;Unidad;TasaItbis;Costo;PrecioVenta;ExistenciaInicial;ExistenciaMinima;ManejaInventario
BEB-003;Agua Purificada 1GAL;Bebidas;GAL;0.18;42.0000;60.0000;80.000;20.000;1
BEB-004;Jugo Rica 1LT;Bebidas;UND;0.18;72.0000;95.0000;60.000;15.000;1
BEB-005;Cerveza Presidente Grande;Bebidas;UND;0.18;135.0000;175.0000;144.000;36.000;1
BEB-006;Malta Morena;Bebidas;UND;0.18;58.0000;78.0000;96.000;24.000;1
BEB-007;Ron Brugal Anejo 750ml;Bebidas;UND;0.18;520.0000;650.0000;24.000;6.000;1
BEB-008;Gatorade 500ml;Bebidas;UND;0.18;62.0000;85.0000;48.000;12.000;1
ENL-001;Sardina Brunswick;Enlatados;UND;0.18;58.0000;78.0000;90.000;24.000;1
ENL-002;Atun Calvo en Aceite;Enlatados;UND;0.18;85.0000;110.0000;70.000;18.000;1
ENL-003;Salsa de Tomate Pasta;Enlatados;UND;0.18;38.0000;52.0000;110.000;30.000;1
ENL-004;Maiz Dulce Enlatado;Enlatados;UND;0.18;52.0000;70.0000;55.000;15.000;1
ENL-005;Leche Evaporada;Enlatados;UND;0.18;62.0000;82.0000;80.000;20.000;1
LIM-001;Detergente Ace 1kg;Limpieza;UND;0.18;175.0000;225.0000;50.000;12.000;1
LIM-002;Jabon de Cuaba;Limpieza;UND;0.18;28.0000;40.0000;120.000;30.000;1
LIM-003;Cloro Clorox 1GAL;Limpieza;GAL;0.18;135.0000;175.0000;40.000;10.000;1
LIM-004;Suavizante Suavitel 1LT;Limpieza;UND;0.18;145.0000;190.0000;35.000;8.000;1
LIM-005;Papel Higienico 4 rollos;Limpieza;PAQ;0.18;115.0000;150.0000;60.000;15.000;1
LIM-006;Fundas Plasticas Medianas;Limpieza;PAQ;0.18;45.0000;65.0000;80.000;20.000;1
HIG-001;Jabon de Bano Protex;Higiene Personal;UND;0.18;62.0000;85.0000;70.000;18.000;1
HIG-002;Pasta Dental Colgate;Higiene Personal;UND;0.18;98.0000;130.0000;45.000;12.000;1
HIG-003;Desodorante Rexona;Higiene Personal;UND;0.18;155.0000;200.0000;30.000;8.000;1
HIG-004;Shampoo Head and Shoulders;Higiene Personal;UND;0.18;265.0000;340.0000;24.000;6.000;1
HIG-005;Toallas Sanitarias Nosotras;Higiene Personal;PAQ;0.18;95.0000;125.0000;40.000;10.000;1
PAN-001;Pan de Agua;Panaderia;UND;0.00;6.0000;10.0000;200.000;40.000;1
PAN-002;Pan Sobao;Panaderia;UND;0.00;8.0000;12.0000;150.000;30.000;1
PAN-003;Galleta Sandwich;Panaderia;PAQ;0.18;22.0000;32.0000;100.000;25.000;1
SNK-001;Papitas Fritas Sabritas;Snacks y Golosinas;PAQ;0.18;35.0000;50.0000;90.000;24.000;1
SNK-002;Chocolate Milky Way;Snacks y Golosinas;UND;0.18;42.0000;60.0000;60.000;15.000;1
SNK-003;Chicle Trident;Snacks y Golosinas;UND;0.18;18.0000;28.0000;120.000;30.000;1
CON-001;Helado Bon 1LT;Congelados;UND;0.18;245.0000;315.0000;20.000;5.000;1
CON-002;Vegetales Congelados;Congelados;LB;0.18;78.0000;100.0000;35.000;8.000;1
SRV-001;Recarga Claro;Snacks y Golosinas;UND;0.18;0.0000;0.0000;0.000;0.000;0
SRV-002;Recarga Altice;Snacks y Golosinas;UND;0.18;0.0000;0.0000;0.000;0.000;0
SRV-003;Recarga Viva;Snacks y Golosinas;UND;0.18;0.0000;0.0000;0.000;0.000;0
SRV-004;Fotocopia;Snacks y Golosinas;UND;0.18;1.0000;5.0000;0.000;0.000;0
SRV-005;Comision Envio de Dinero;Snacks y Golosinas;UND;0.18;0.0000;50.0000;0.000;0.000;0
